Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Cr,C,11,35,10,0.9090909090909091,0.2857142857142857,1.1168831168831168,8.953488372093023,0.32786155113527715
Cr,C,11,36,10,0.9090909090909091,0.2777777777777778,1.0858585858585859,9.209302325581396,0.4137885063341075
Cr,C,11,37,10,0.9090909090909091,0.2702702702702703,1.0565110565110565,9.465116279069768,0.5119907408470563
Cr,C,11,38,10,0.9090909090909091,0.2631578947368421,1.0287081339712918,9.720930232558139,0.6201301062333393
Cr,C,11,39,10,0.9090909090909091,0.2564102564102564,1.0023310023310024,9.976744186046512,0.733489992707236
Cr,C,11,40,10,0.9090909090909091,0.25,0.9772727272727273,10.232558139534884,0.8440158820192853
Cr,C,11,41,11,1.0,0.2682926829268293,1.048780487804878,10.488372093023257,0.549280177187154
Cr,C,11,42,11,1.0,0.2619047619047619,1.023809523809524,10.744186046511627,0.7441860465116279
Cr,C,11,43,11,1.0,0.2558139534883721,1.0,11.0,1.0
Co,C,11,1,0,0.0,0.0,0.0,0.2558139534883721,1.0
Co,C,11,2,0,0.0,0.0,0.0,0.5116279069767442,1.0
Co,C,11,3,1,0.09090909090909091,0.3333333333333333,1.303030303030303,0.7674418604651163,0.5980876752289117
Co,C,11,4,2,0.18181818181818182,0.5,1.9545454545454546,1.0232558139534884,0.266510007292764
Co,C,11,5,3,0.2727272727272727,0.6,2.3454545454545452,1.2790697674418605,0.09647017758191893
Co,C,11,6,3,0.2727272727272727,0.5,1.9545454545454544,1.5348837209302326,0.16359116299409465
Co,C,11,7,3,0.2727272727272727,0.42857142857142855,1.675324675324675,1.7906976744186047,0.24250367287057142
Co,C,11,8,3,0.2727272727272727,0.375,1.4659090909090908,2.046511627906977,0.3284306280694017
Co,C,11,9,3,0.2727272727272727,0.3333333333333333,1.3030303030303028,2.302325581395349,0.41681263913105576
Co,C,11,10,3,0.2727272727272727,0.3,1.1727272727272726,2.558139534883721,0.5037092382420937
Co,C,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Co,C,11,12,4,0.36363636363636365,0.3333333333333333,1.303030303030303,3.0697674418604652,0.35970445751830915
Co,C,11,13,5,0.45454545454545453,0.38461538461538464,1.5034965034965035,3.3255813953488373,0.1845097012460552
Co,C,11,14,6,0.5454545454545454,0.42857142857142855,1.675324675324675,3.5813953488372094,0.07822488244088774
Co,C,11,15,7,0.6363636363636364,0.4666666666666667,1.8242424242424242,3.8372093023255816,0.026914969914255182
Co,C,11,16,8,0.7272727272727273,0.5,1.9545454545454546,4.093023255813954,0.007281074814778449
