Representation,Deleted_Block,Metal,Mean_Delta_Recall
FD,8,Co,0.04398148148148148
FD,8,Ni,0.034722222222222224
FD,8,Mn,0.2916666666666667
FD,8,Pb,0.0009259259259259273
FD,8,Cd,-0.002314814814814816
FD,9,Fe,0.014351851851851853
FD,9,Zn,0.06481481481481481
FD,9,Cu,-0.07361111111111113
FD,9,Cr,0.0
FD,9,Co,0.12824074074074077
FD,9,Ni,-0.006944444444444446
FD,9,Mn,0.10833333333333334
FD,9,Pb,-0.042129629629629635
FD,9,Cd,-0.0032407407407407415
FD,10,Fe,0.04398148148148148
FD,10,Zn,0.0074074074074074
FD,10,Cu,-0.06805555555555556
FD,10,Cr,0.0
FD,10,Co,0.12083333333333332
FD,10,Ni,0.025462962962962958
FD,10,Mn,0.07962962962962963
FD,10,Pb,-0.019907407407407405
FD,10,Cd,0.041666666666666664
logHF,1,Fe,0.11666666666666667
logHF,1,Zn,-0.027777777777777776
logHF,1,Cu,-0.024074074074074078
logHF,1,Cr,0.005555555555555554
logHF,1,Co,0.15740740740740738
logHF,1,Ni,0.02407407407407407
logHF,1,Mn,0.12962962962962965
logHF,1,Pb,-0.040740740740740744
logHF,1,Cd,-0.016666666666666663
logHF,2,Fe,0.0587962962962963
logHF,2,Zn,0.0
logHF,2,Cu,-0.07268518518518519
logHF,2,Cr,0.005555555555555554
logHF,2,Co,0.19305555555555554
logHF,2,Ni,0.034722222222222224
logHF,2,Mn,0.1597222222222222
logHF,2,Pb,-0.03611111111111112
logHF,2,Cd,0.03148148148148148
logHF,3,Fe,0.12731481481481483
logHF,3,Zn,0.018518518518518517
logHF,3,Cu,-0.08796296296296297
logHF,3,Cr,0.0625
logHF,3,Co,0.27777777777777785
logHF,3,Ni,-0.011574074074074077
logHF,3,Mn,0.16203703703703703
logHF,3,Pb,0.08055555555555555
logHF,3,Cd,0.041666666666666664
logHF,4,Fe,-0.003703703703703706
logHF,4,Zn,0.0462962962962963
logHF,4,Cu,-0.09537037037037038
logHF,4,Cr,0.005555555555555554
logHF,4,Co,0.048611111111111105
logHF,4,Ni,-0.0018518518518518576
logHF,4,Mn,0.08472222222222223
logHF,4,Pb,-0.05462962962962963
logHF,4,Cd,0.04675925925925926
logHF,5,Fe,0.09583333333333333
logHF,5,Zn,-0.013888888888888888
logHF,5,Cu,-0.0055555555555555575
logHF,5,Cr,0.014814814814814812
logHF,5,Co,0.13518518518518519
logHF,5,Ni,0.0032407407407407385
logHF,5,Mn,0.10185185185185186
logHF,5,Pb,-0.07314814814814814
logHF,5,Cd,0.009722222222222222
logHF,6,Fe,0.0
logHF,6,Zn,-0.01851851851851852
logHF,6,Cu,-0.0032407407407407415
logHF,6,Cr,-0.009259259259259259
logHF,6,Co,-0.011574074074074075
logHF,6,Ni,-0.05555555555555555
logHF,6,Mn,0.2171296296296296
logHF,6,Pb,-0.0212962962962963
logHF,6,Cd,-0.027777777777777766
logHF,7,Fe,-0.0037037037037037073
logHF,7,Zn,0.009259259259259259
logHF,7,Cu,-0.04583333333333334
logHF,7,Cr,-0.0037037037037037043
logHF,7,Co,0.09537037037037038
logHF,7,Ni,0.012500000000000004
logHF,7,Mn,0.04490740740740741
logHF,7,Pb,-0.05925925925925926
logHF,7,Cd,-0.023148148148148147
logHF,8,Fe,0.11574074074074073
