Representation,Deleted_Block,Outer_Block_A,Outer_Block_B,Test_n,Metal,S_MAE,S_REC,Inner_MAE_of_S_MAE,Inner_Recovery_of_S_MAE,Inner_MAE_of_S_REC,Inner_Recovery_of_S_REC,Recovery_Primary_Tie_Size,Recovery_Primary_Tied_Set,Outer_Recall_S_MAE,Outer_Recall_S_REC,Delta_Recall,Outer_Hits_S_MAE,Outer_Hits_S_REC,High_n,Budget_k,Outer_BlockMAE_S_MAE,Outer_BlockMAE_S_REC,Delta_BlockMAE_REC_minus_MAE,Inner_Pairs
FD,0,2,8,11,Cr,Cν,Cν,0.10427686799436064,0.729761904761905,0.10427686799436064,0.729761904761905,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.08510682315569018,0.08510682315569018,-6.938893903907228e-18,28
FD,0,2,8,11,Co,C,Cν,0.060766113939335294,0.5940476190476193,0.06304743229358889,0.7148809523809525,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.07190658244523185,0.06736874591915981,-0.0045378365260720435,28
FD,0,2,8,11,Ni,C,Cν,0.07599640767416561,0.6357142857142856,0.07871008760992666,0.6785714285714286,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.045040406591345124,0.04362972701010719,-0.0014106795812379308,28
FD,0,2,8,11,Mn,Fν,Cν,0.10863132138286162,0.3874999999999999,0.13234712704942939,0.6363095238095237,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.13639221996149536,0.11376090916459186,-0.02263131079690349,28
FD,0,2,8,11,Pb,F,Cν,0.09718736624423581,0.4214285714285713,0.11908751683480026,0.5101190476190476,1,Cν,1.0,0.6666666666666666,-0.33333333333333337,3,2,3,3,0.06621229304622517,0.10139564769807694,0.03518335465185176,28
FD,0,2,8,11,Cd,F,F,0.3103034823449531,0.2196428571428571,0.3103034823449531,0.2196428571428571,1,F,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.20282877899802157,0.20282877899802157,0.0,28
FD,0,2,9,4,Fe,FC,Cν,0.1777830721819444,0.5351190476190476,0.17878261025320713,0.5470238095238095,1,Cν,1.0,0.0,-1.0,1,0,1,1,0.11543556081900797,0.06396526140404235,-0.051470299414965615,28
FD,0,2,9,4,Zn,F,F,0.11668131123298342,0.6726190476190476,0.11668131123298342,0.6726190476190476,1,F,0.0,0.0,0.0,0,0,1,1,0.07052200193885139,0.07052200193885139,0.0,28
FD,0,2,9,4,Cu,FC,F,0.1256939583434297,0.5952380952380952,0.13350638890553476,0.6166666666666668,1,F,0.0,0.0,0.0,0,0,1,1,0.12302155776709567,0.14266438086424488,0.01964282309714921,28
FD,0,2,9,4,Cr,Cν,Cν,0.09609341724054754,0.6511904761904761,0.09609341724054754,0.6511904761904761,1,Cν,1.0,1.0,0.0,1,1,1,1,0.09502945220968478,0.09502945220968478,0.0,28
FD,0,2,9,4,Co,Cν,Cν,0.06794445994039978,0.7005952380952382,0.06794445994039978,0.7005952380952382,1,Cν,1.0,1.0,0.0,1,1,1,1,0.03808125372181159,0.03808125372181159,0.0,28
FD,0,2,9,4,Ni,C,Cν,0.07278130078307805,0.5244047619047619,0.07312938686461223,0.619047619047619,1,Cν,1.0,1.0,0.0,1,1,1,1,0.05076273371964474,0.05532517344997451,0.00456243973032977,28
FD,0,2,9,4,Mn,FC,Cν,0.1202826800091579,0.5452380952380953,0.14002011766896336,0.5982142857142856,1,Cν,1.0,0.0,-1.0,1,0,1,1,0.09680041471065493,0.09655685193046848,-0.00024356278018644595,28
FD,0,2,9,4,Pb,Fν,Cν,0.0798587747885536,0.5666666666666665,0.1021327692511664,0.6720238095238095,1,Cν,0.0,0.0,0.0,0,0,1,1,0.14553301957129505,0.19095535788407825,0.045422338312783195,28
FD,0,2,9,4,Cd,F,F,0.2995337145472524,0.2767857142857143,0.2995337145472524,0.2767857142857143,1,F,0.0,0.0,0.0,0,0,1,1,0.19254441909940131,0.19254441909940131,0.0,28
FD,0,2,10,3,Fe,Cν,Cν,0.14396552598646467,0.6482142857142855,0.14396552598646467,0.6482142857142855,1,Cν,1.0,1.0,0.0,1,1,1,1,0.219486422650639,0.219486422650639,0.0,28
FD,0,2,10,3,Zn,F,F,0.11442968869313382,0.6726190476190476,0.11442968869313382,0.6726190476190476,1,F,0.0,0.0,0.0,0,0,1,1,0.08032076657915632,0.08032076657915632,0.0,28
FD,0,2,10,3,Cu,FC,Cν,0.12459520986814236,0.5952380952380952,0.15090249925039792,0.6553571428571426,1,Cν,0.0,0.0,0.0,0,0,1,1,0.12759759614536825,0.23572707195196052,0.10812947580659227,28
FD,0,2,10,3,Cr,Cν,Cν,0.10855050037491641,0.694047619047619,0.10855050037491641,0.694047619047619,1,Cν,0.0,0.0,0.0,0,0,1,1,0.042752413067441986,0.042752413067441986,0.0,28
