Sample,SiteCode,Side,StationNumber,Distance_raw,Distance_numeric_m,LocationIndex,Latitude_raw,Longitude_raw,Fine_Klf_raw,Fine_Khf_raw,Fine_net_mass_g,Fine_mass_rule,Fine_LF_reconstructed,Fine_HF_reconstructed,Fine_FD_pct,Coarse_Klf_raw,Coarse_Khf_raw,Coarse_mass_g,Coarse_LF_reconstructed,Coarse_HF_reconstructed,Coarse_FD_pct,Fe_mgkg,Zn_mgkg,Cu_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Mn_mgkg,Pb_mgkg,Cd_mgkg
11,R3,R,3,100,100.0,3,53.°446031N,522268035E,140.0,129.0,10.6867,dist mass used directly (net),131.0039581910225,120.71079004744215,7.857142857142863,155,143,12.795,121.1410707307542,111.76240719030872,7.741935483870957,23570.513112439738,92.3857473103939,36.97188448565187,61.3702642898432,55.09094364161598,88.41371276175171,852.6754852918554,115.24850145706041,5.321452304155588
12,L3,L,3,1,1.0,12,44.776231,56.3364035E,226.0,222.0,11.8836,dist mass used directly (net),190.17806052038105,186.8120771483389,1.7699115044247913,118,118,13.5995,86.76789587852494,86.76789587852494,0.0,10528.534835250504,159.80885790389215,119.21276226807699,34.586148436203025,42.84818950411214,71.16910919049408,323.13561890499363,162.99403747436665,15.816971409887362
13,L3,L,3,20,20.0,12,44.776231,56.3364035E,81.0,80.0,11.1341,dist mass used directly (net),72.74948132314242,71.85133957841227,1.2345679012345687,19,17,13.1359,14.464178320480517,12.941633234114144,10.526315789473701,6394.8727078511665,107.71492295214921,58.3941605839416,23.64287992794551,35.1128285864224,55.21476115065135,235.01955308025913,112.47183454481203,13.105921328066694
14,L3,L,3,50,50.0,12,44.776231,56.3364035E,36.0,33.0,9.5587,dist mass used directly (net),37.662025170786826,34.523523073221256,8.33333333333334,40,38,11.6148,34.438819437269686,32.716878465406204,4.999999999999994,6179.556337566224,69.50212255444814,37.54813671126384,15.55593242258941,31.020160001985285,56.46578065199286,264.75723982226083,87.70744354543628,7.143643366328229
15,L3,L,3,100,100.0,12,44.776231,56.3364035E,90.0,82.0,9.257,dist mass used directly (net),97.22372258831156,88.58161391379497,8.888888888888898,98,92,9.9469,98.52315796881442,92.49112788909108,6.122448979591847,6336.0528526476155,49.99409279181609,39.269958798212585,23.475189940012854,39.572162782217376,61.35108396966885,440.2403262574223,85.9572321094022,4.634755011752223
16,R4,R,4,/محطة وقودm1,1.0,4,52.°565931,532156035E,84.0,77.0,11.841299999999999,dist gross mass - 2.999 g bottle,70.93815712801805,65.02664403401654,8.333333333333337,63,62,11.9158,52.87097802917135,52.031756155692435,1.5873015873015917,8386.417981826877,83.2107843137255,39.61280714817572,26.009375472554066,38.139177239523256,63.07760011735367,375.56617555296174,85.12723152769696,50.04295982732245
17,L4,L,4,كازية/1ة,1.0,13,45.529431,56.0017035E,173.0,169.0,11.461599999999999,dist gross mass - 2.999 g bottle,150.93878690584214,147.44887275773016,2.3121387283237134,193,188,12.5609,153.65141032887772,149.6708038436736,2.590673575129547,12750.444927444805,339.79282597904745,97.17637884799113,60.14203190610348,39.034345613784346,82.08962662706038,479.91024695380236,131.5787380020081,5.4866025959923
18,R5,R,5,/غابة1,1.0,5,51.525131N,53.4473035,135.0,132.0,12.0694,dist gross mass - 2.999 g bottle,111.85311614496165,109.36749134174028,2.2222222222222223,68,66,11.1817,60.81365087598488,59.02501408551473,2.941176470588246,8904.647973790958,102.59024020491911,42.28342400447847,22.374895609017447,34.74768720316481,56.21874115776973,313.24068983056617,121.8441298865772,4.274021066901251
19,L5,L,5,1,1.0,14,47.035531N,55.7081035E,150.0,146.0,10.639899999999999,dist gross mass - 2.999 g bottle,140.97876859744923,137.21933476818393,2.6666666666666607,146,146,12.084,120.82092022509103,120.82092022509103,0.0,8359.64569265219,247.39271755603414,73.45346382303319,29.526995978792232,34.095156767341216,60.17102096000327,370.748335581863,155.70776716432115,8.908436869403081
20,R6,R,6,1,1.0,6,49.608931N,53.9314035E,77.0,74.0,10.875,dist gross mass - 2.999 g bottle,70.80459770114943,68.04597701149424,3.8961038961039183,70,72,10.4861,66.7550376212319,68.66232441040997,-2.857142857142864,9322.466232630453,92.29574756529439,58.31105955923144,28.485031595981113,43.941879540660885,69.85772620242221,388.9036391560923,112.77119528134207,6.0765133268138705
21,R6,R,6,10,10.0,6,49.608931N,53.9314035E,93.0,86.0,9.804,dist gross mass - 2.999 g bottle,94.859241126071,87.71929824561404,7.526881720430108,82,75,8.4312,97.25780434576335,88.95530885283233,8.536585365853657,11636.877851641655,80.63262609776949,44.712555816911674,44.053629149956755,47.850025220315835,77.28211917552044,604.636491115786,119.55089160083982,5.731266876608233
22,R6,R,6,50,50.0,6,49.608931N,53.9314035E,74.0,69.0,12.012799999999999,dist gross mass - 2.999 g bottle,61.60095897709111,57.438732019179554,6.756756756756749,85,78,10.75,79.06976744186046,72.55813953488372,8.235294117647056,11675.32986805278,64.89071038251367,33.68078279885708,35.98323375810838,38.90248827568018,64.46682788614844,463.30765469542,98.46700009781054,37.871453594441206
23,R6,R,6,100,100.0,6,49.608931N,53.9314035E,97.0,92.0,9.989099999999999,dist gross mass - 2.999 g bottle,97.1058453714549,92.1003894244727,5.15463917525773,120,111,10.685,112.30697239120262,103.88394946186241,7.500000000000008,21405.30571768685,77.66031125234254,47.03130366441927,52.783745622562336,48.248746251535735,80.768501625428,730.7545917424637,101.79656948105763,50.89939536394896
24,R6,R,6,150,150.0,6,49.608931N,53.9314035E,51.0,48.0,5.0008,dist gross mass - 2.999 g bottle,101.98368261078228,95.98464245720685,5.882352941176478,,,,,,,17781.49659420408,72.55389718076285,38.77269612639617,49.53553988870825,41.3501704238538,69.67248100880937,726.0144790889898,89.2922476122731,62.49690987501174
25,R6,R,6,200,200.0,6,49.608931N,53.9314035E,77.0,71.0,10.029,dist gross mass - 2.999 g bottle,76.77734569747732,70.79469538338817,7.792207792207792,66,71,9.3366,70.6895443737549,76.04481288691814,-7.575757575757559,9760.947721334038,102.44911205015605,56.321719731795355,23.003973936497527,42.24077567061293,63.53740307446646,492.14706688258474,117.10385222503142,13.06169610241645
26,L6,L,6,1,1.0,15,51.437631N,53.1177035,156.0,152.0,10.502099999999999,dist gross mass - 2.999 g bottle,148.5417202273831,144.7329581702707,2.564102564102575,150,156,11.5891,129.4319662441432,134.60924489390894,-3.9999999999999973,10307.8177906499,228.1536110419606,52.624447364523554,33.27759336444789,35.79558119820827,71.13367523022995,396.7289773485772,152.26800932061641,9.932847741239383
27,L6,L,6,10,10.0,15,51.437631N,53.1177035,47.0,44.0,10.615599999999999,dist gross mass - 2.999 g bottle,44.27446399638269,41.44843437959231,6.382978723404259,18,17,13.8294,13.015749056358194,12.292651886560517,5.5555555555555545,5557.052984120248,89.88753037071872,40.03131073523678,19.644382280888074,29.506276999396043,45.68678624779847,208.9245465185614,87.5151606245914,7.496960799103983
28,L6,L,6,20,20.0,15,51.437631N,53.1177035,92.0,84.0,10.3791,dist gross mass - 2.999 g bottle,88.63967010627127,80.93187270572594,8.695652173913047,86,79,10.9889,78.26079043398339,71.89072609633358,8.139534883720927,8193.07466682415,78.81860371267152,41.37677383761915,35.168091026223564,33.23363243602526,68.18104053828301,551.6157309746964,66.80338251994962,15.052303519996274
