Transform,Intercept,Grouping,Model,Metal,R2,Q2,MAE_sample,MAE_block,Hits_h11_k11
log10_1plus_metres,True,Ten_code_blocks,ContextF,Mn,0.36409482341546995,0.3798615371991204,0.10847541839235703,0.12138455896568659,6
log10_1plus_metres,True,Ten_code_blocks,ContextF,Pb,0.33202044843797196,0.39577180081618824,0.0846054473622825,0.09808971369187333,7
log10_1plus_metres,True,Ten_code_blocks,ContextF,Cd,-0.2966031572500749,-0.16673294303695152,0.257524541663478,0.29458878185059467,1
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Fe,0.41372527232026723,0.43582873106012665,0.12131831742484905,0.14974713139466048,6
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Zn,0.410187496732898,0.4350783508855993,0.1100216349306551,0.11753238564256518,7
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Cu,0.43413153759252354,0.4997235775379283,0.11669068331862903,0.13179877528954553,8
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Cr,0.15102901032409288,0.22334228846192827,0.11137329983596352,0.12419373976322623,4
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Co,0.31621105944420447,0.341525128495892,0.056087991895336496,0.061137561863164144,7
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Ni,0.35532887113069167,0.37200687815531186,0.05152910062301798,0.06564313517462252,8
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Mn,0.543172529909652,0.5544991682743677,0.08343005918468824,0.10377597442136452,6
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Pb,0.3076568555252006,0.3737334467424642,0.0861316129601107,0.1020859077793846,6
log10_1plus_metres,True,Ten_code_blocks,ContextFC,Cd,-0.3765622049393822,-0.23868314191725903,0.2662906585880562,0.30406150195951476,2
log10_1plus_metres,True,Nineteen_side_codes,Context,Fe,0.038487572454284136,0.10102632971311398,0.15968111850955113,0.17205679429238713,6
log10_1plus_metres,True,Nineteen_side_codes,Context,Zn,0.18247426857257532,0.22150607961920177,0.13610395165142614,0.13422736163038476,5
log10_1plus_metres,True,Nineteen_side_codes,Context,Cu,0.011096776734288438,0.0794610767400944,0.14981131076424162,0.1774334970847763,3
log10_1plus_metres,True,Nineteen_side_codes,Context,Cr,-0.21226106050485516,-0.09728170785584989,0.13456710465681837,0.15076898866474941,4
log10_1plus_metres,True,Nineteen_side_codes,Context,Co,0.025598564836592952,0.08012719746735208,0.06720305429663014,0.07191368979287904,5
log10_1plus_metres,True,Nineteen_side_codes,Context,Ni,-0.07137817822733816,-0.020990936708454866,0.07543707652384217,0.08468958636648281,4
log10_1plus_metres,True,Nineteen_side_codes,Context,Mn,0.2169460885423311,0.2548160299249881,0.11381603926610138,0.11714545280081448,6
log10_1plus_metres,True,Nineteen_side_codes,Context,Pb,0.046818590551221284,0.1049138881407744,0.10291977407946472,0.11511770200310577,5
log10_1plus_metres,True,Nineteen_side_codes,Context,Cd,-0.2397011891844274,-0.15427399140447817,0.25061592755544715,0.2766665883755444,1
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Fe,0.33784892822619206,0.3809166036508733,0.13316795737568196,0.1459065188863804,5
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Zn,0.4288801222185836,0.4561475736241979,0.10699437234316696,0.11187785763668726,7
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Cu,0.3711829509475879,0.41465397660389114,0.12593960752292643,0.1369891757450441,8
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Cr,-0.003909549418891656,0.0913082826727103,0.12609668144891442,0.13797106212591126,3
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Co,0.31988742076184407,0.35794730823996157,0.05524243253145371,0.06158196081846514,7
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Ni,0.3281184276443305,0.35971722230560144,0.05680940867390208,0.06576126700739887,8
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Mn,0.3462107313723244,0.3778291945678546,0.11024854462687067,0.11453720956496649,5
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Pb,0.325903927621327,0.3669892987170926,0.08556759865511816,0.0982917689530577,7
log10_1plus_metres,True,Nineteen_side_codes,ContextF,Cd,-0.23798324771966572,-0.15267443243911627,0.25350858969344975,0.28022077225051784,2
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Fe,0.3903903820059237,0.4300406525902495,0.12569057892240462,0.1435050865534299,5
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Zn,0.40418937687536394,0.4326356590746637,0.1102689018737881,0.11740825090306632,7
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Cu,0.4455734506612806,0.48390175423886106,0.11643330545031329,0.1279883105835642,8
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Cr,0.11711919532909665,0.20085781128778912,0.11472534769527885,0.12724895292489977,2
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Co,0.3060950440581378,0.3449267689076312,0.05702904372729609,0.06006285244271316,7
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Ni,0.3550983910449772,0.3854283098231418,0.05246466845009384,0.05999333762627596,8
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Mn,0.5328890101854887,0.5554793651337722,0.0845251939388475,0.08895800675742026,6
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Pb,0.3069293857424459,0.3491712330830813,0.08678056697776325,0.10131504041910593,6
log10_1plus_metres,True,Nineteen_side_codes,ContextFC,Cd,-0.3153280209335958,-0.22468941546147714,0.262462292373829,0.2893154137612075,1
log10_1plus_metres,True,Five_merged_blocks,Context,Fe,-0.017924522548413258,-0.015183375430734003,0.1626897398445888,0.16514265127500166,7
log10_1plus_metres,True,Five_merged_blocks,Context,Zn,0.15077166872968328,0.16835624353528955,0.13959230458511265,0.13178409859023454,5
log10_1plus_metres,True,Five_merged_blocks,Context,Cu,-0.16000271011037226,0.049486894035632,0.16009027274331214,0.1872163424830954,1
log10_1plus_metres,True,Five_merged_blocks,Context,Cr,-0.18327743110672423,-0.08769389064716804,0.1336826541737443,0.13856217064513712,4
log10_1plus_metres,True,Five_merged_blocks,Context,Co,-0.03627014086894875,0.022641274458980787,0.06725390434595505,0.07037669534269222,5
log10_1plus_metres,True,Five_merged_blocks,Context,Ni,-0.12464214820720954,-0.08916746900634132,0.07605428905317883,0.08102459654549476,4
log10_1plus_metres,True,Five_merged_blocks,Context,Mn,0.2411668949648631,0.24859960618511756,0.11242262438090592,0.1248827635525184,6
log10_1plus_metres,True,Five_merged_blocks,Context,Pb,0.04315936752940963,0.15539364281479662,0.10133900910636112,0.11467944767696434,4
log10_1plus_metres,True,Five_merged_blocks,Context,Cd,-0.26316594544141036,-0.14064521242705252,0.2512054948705926,0.26695701749003176,1
log10_1plus_metres,True,Five_merged_blocks,ContextF,Fe,0.29336283455278134,0.29526572262198836,0.13392412524070474,0.14741893139832235,6
log10_1plus_metres,True,Five_merged_blocks,ContextF,Zn,0.3907005369825083,0.40331701666403263,0.1128787162263857,0.11456391504698445,7
log10_1plus_metres,True,Five_merged_blocks,ContextF,Cu,0.2827056368292177,0.4122447412529563,0.13336447145100513,0.1566798670071735,7
log10_1plus_metres,True,Five_merged_blocks,ContextF,Cr,0.03806455030758715,0.11576838675206269,0.12683932437961332,0.1400550717279399,2
log10_1plus_metres,True,Five_merged_blocks,ContextF,Co,0.2984881045572926,0.33836868877952464,0.055425318621231304,0.06151022752506237,7
log10_1plus_metres,True,Five_merged_blocks,ContextF,Ni,0.3546088953685437,0.37496651973145045,0.055275978247083656,0.06154112254861925,8
log10_1plus_metres,True,Five_merged_blocks,ContextF,Mn,0.4052896876803975,0.4111148289161298,0.10558237178930087,0.12291403741412228,5
log10_1plus_metres,True,Five_merged_blocks,ContextF,Pb,0.27469224209984355,0.35976846880293045,0.08767797976052369,0.10818726594335375,8
log10_1plus_metres,True,Five_merged_blocks,ContextF,Cd,-0.2586381333171561,-0.13655657526822318,0.2535968175438892,0.2708523484304075,1
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Fe,0.37311947851559024,0.37480759162862753,0.1227180871758124,0.13862370157439935,6
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Zn,0.37062816074524674,0.38366026975574374,0.11542439127393182,0.11762856552678165,7
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Cu,0.39026254902652724,0.5003775135211126,0.12134799391384189,0.13928122075255045,8
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Cr,0.1799948794452917,0.2462337770673616,0.11287668723672452,0.12263148764675771,4
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Co,0.2882917142975697,0.3287519579712769,0.05784643347919781,0.06152143600141154,7
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Ni,0.3823172282776036,0.4018008464308849,0.051546603187737676,0.057717079596689334,8
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Mn,0.5943383782422784,0.598311802263527,0.0790251594129672,0.10102212621072786,6
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Pb,0.22191352433020783,0.31318052192904167,0.09159912407374453,0.11500628134506843,6
log10_1plus_metres,True,Five_merged_blocks,ContextFC,Cd,-0.3350983517002484,-0.20560053766646869,0.261990700519574,0.2779910292193409,1
